Title,Genre,Artist,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Clint Eastwood,pop,Gorillaz,7yMiX7n9SBvadzox8T5jzT,Clint Eastwood,Gorillaz,69.0,N,2001,0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,10.0,0.0,167.953,340920.0
Paparazzi,pop,Lady Gaga,7Hqig8kp32q2Ire3ECQvWM,Paparazzi,The Fame,71.0,N,2008-01-01,0.762,0.692,-3.973,0.0437,0.112,0.0,0.094,0.397,5.0,0.0,114.903,208307.0
Umbrella,pop,Rihanna,49FYlytm3dAAraYgpoJZux,Umbrella,Good Girl Gone Bad: Reloaded,82.0,Y,2008-06-02,0.585,0.828,-4.603,0.124,0.00906,0.0,0.0426,0.584,1.0,1.0,174.034,275987.0
Hey Ya!,pop,OutKast,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Speakerboxxx/The Love Below,82.0,N,2003,0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,4.0,0.0,79.526,235213.0
The Less I Know the Better,pop,Tame Impala,6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Currents,84.0,N,2015-07-17,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,4.0,1.0,116.879,216320.0
Summertime Sadness,pop,Lana Del Rey,2dBwB667LHQkLhdYlwLUZK,Summertime Sadness,Born To Die - The Paradise Edition,66.0,N,2012-11-12,0.565,0.654,-6.826,0.0335,0.0542,1.8e-06,0.122,0.235,1.0,0.0,111.968,265427.0
Chasing Cars,pop,Snow Patrol,5hnyJvgoWiQUYZttV4wXy6,Chasing Cars,Eyes Open,79.0,N,2006-01-01,0.561,0.595,-4.53,0.0274,0.199,6.47e-05,0.132,0.144,9.0,1.0,104.006,267960.0
Losing My Religion,pop,R.E.M.,31AOj9sFz2gM0O3hMARRBx,Losing My Religion,Out Of Time (25th Anniversary Edition),83.0,N,1991-03-12,0.666,0.855,-5.051,0.0295,0.179,1.2e-06,0.0987,0.803,9.0,0.0,125.639,268427.0
Dog Days Are Over,pop,Florence + the Machine,1YLJVmuzeM2YSUkCCaTNUB,Dog Days Are Over,Lungs (Deluxe Edition),73.0,N,2009,0.492,0.81,-5.315,0.0847,0.0416,0.00379,0.117,0.245,7.0,1.0,149.954,251840.0
Somewhere Only We Know,pop,Keane,6uNP8aOZphmhsYlOwRhNh1,Somewhere Only We Know,Somewhere Only We Know,60.0,N,2004-01-01,0.456,0.644,-5.317,0.0253,0.0794,1.07e-06,0.0796,0.381,9.0,1.0,172.233,238787.0
Every Breath You Take,pop,The Police,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,Synchronicity (Remastered 2003),87.0,N,1983-06-17,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,1.0,1.0,117.401,253920.0
Dancing Queen,pop,ABBA,0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,Arrival,83.0,N,1976,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,9.0,1.0,100.804,230400.0
Hot n Cold,pop,Katy Perry,1y4eb6hmAvsqlDOl3fx9kk,Hot N Cold,One Of The Boys,71.0,N,2008-06-17,0.706,0.842,-3.956,0.0417,7.73e-05,0.0,0.0688,0.861,7.0,1.0,132.032,220227.0
Paper Planes,pop,M.I.A.,1ixbwbeBi5ufN4noUKmW5a,Paper Planes,Kala,75.0,N,2007-08-20,0.447,0.848,-6.175,0.222,0.033,7.46e-05,0.65,0.485,2.0,1.0,172.253,205200.0
This Love,pop,Maroon 5,6ECp64rv50XVz93WvxXMGF,This Love,Songs About Jane: 10th Anniversary Edition,82.0,N,2002,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,5.0,0.0,95.051,206200.0
I Gotta Feeling,pop,Black Eyed Peas,2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),74.0,N,2009-01-01,0.744,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,0.0,1.0,127.966,289133.0
Ms. Jackson,pop,OutKast,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Stankonia,81.0,N,2000-10-31,0.843,0.806,-5.946,0.269,0.143,0.0,0.0771,0.613,4.0,0.0,94.948,270507.0
