Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Better Man,Little Big Town,Country,23TxRN09aR1RB0G0tFoT0b,Better Man,The Breaker,59.0,N,2017-02-24,0.514,0.836,-3.663,0.0382,0.112,0.0,0.0878,0.501,5.0,1.0,143.888,263120.0
Coward of the County,Kenny Rogers,Country,0JkIre0YxNmKGMU5V7ZiDx,Coward Of The County,Kenny,64.0,N,1979-10-10,0.652,0.433,-12.843,0.0588,0.134,7.37e-06,0.146,0.675,7.0,1.0,91.471,258733.0
Where the Green Grass Grows,Tim McGraw,Country,0nDjzA4kns1QOWPXuOn6Xw,Where The Green Grass Grows,Everywhere,65.0,N,1997-06-03,0.479,0.698,-7.914,0.0277,0.198,0.0,0.126,0.673,7.0,1.0,159.699,201600.0
Blown Away,Carrie Underwood,Country,0vFMQi8ZnOM2y8cuReZTZ2,Blown Away,Blown Away,61.0,N,2012-05-01,0.531,0.843,-2.569,0.0429,0.0909,0.0,0.0283,0.392,9.0,0.0,136.991,240133.0
Good Time,Alan Jackson,Country,6lyKOW0FNW6aAZdKVgoM8m,Good Time,Good Time,64.0,N,2008-11-05,0.652,0.767,-10.445,0.0372,0.0355,6.92e-06,0.397,0.73,9.0,1.0,132.017,306773.0
Don't Take the Girl,Tim McGraw,Country,2wmEryA2YLaFwFvA63n3O2,Don't Take The Girl,Not A Moment Too Soon,60.0,N,1994-03-22,0.439,0.454,-8.669,0.0308,0.279,0.0,0.123,0.354,0.0,1.0,204.263,249360.0
The Night the Lights Went Out in Georgia,Vicki Lawrence,Country,4ZObql2ASJn1bvasBzjlyI,The Night the Lights Went out in Georgia,The Night the Lights Went out in Georgia (Deluxe Edition),38.0,N,1973-01-01,0.457,0.406,-13.51,0.168,0.852,0.0,0.138,0.613,5.0,0.0,173.012,220520.0
She Believes in Me,Kenny Rogers,Country,5ggOAMsJCAYDHnyoqJ0xAD,She Believes In Me,The Gambler,61.0,N,1978-11-20,0.32,0.412,-12.472,0.0311,0.484,5.02e-06,0.346,0.316,10.0,1.0,142.779,258720.0
If Tomorrow Never Comes,Garth Brooks,Country,0ecR058lYMgzexQ2B3nDqr,If Tomorrow Never Comes - Live,Live in Germany 1995 (live),51.0,N,2024-04-16,0.36,0.299,-11.763,0.0307,0.615,1.06e-06,0.919,0.406,7.0,1.0,76.472,236320.0
Check Yes or No,George Strait,Country,6iy4PoAuZBMvtrlDX4VxC7,Check Yes Or No,Strait Out Of The Box,70.0,N,1995-09-12,0.708,0.524,-12.644,0.0352,0.0551,3.21e-06,0.0371,0.691,5.0,1.0,111.48,200667.0
Your Man,Josh Turner,Country,1WzAeadSKJhqykZFbJNmQv,Your Man,Your Man,70.0,N,2006,0.743,0.636,-4.483,0.0241,0.333,0.000216,0.0696,0.784,6.0,1.0,100.511,211893.0
It's Your Love,Tim McGraw & Faith Hill,Country,503sFkc8Y2eyGnM6cu8kHm,It's Your Love,Everywhere,59.0,Y,1997-06-03,0.474,0.528,-8.588,0.0276,0.526,0.0,0.109,0.364,7.0,1.0,144.366,227333.0
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,Country,6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops - Second Album,74.0,N,1965,0.667,0.599,-8.894,0.0291,0.245,0.0,0.107,0.971,0.0,1.0,127.935,160280.0
Every Light in the House,Trace Adkins,Country,2A7j0RLnzvvlUFrevBiOQf,Every Light In The House,Dreamin' Out Loud,61.0,N,1996-01-01,0.637,0.472,-7.295,0.0271,0.539,0.0,0.446,0.349,5.0,1.0,129.236,179600.0
American Honey,Lady A,Country,4xInIiKipU1mtUogJ3ZdYr,American Honey,Need You Now,60.0,N,2010-01-01,0.588,0.684,-5.154,0.0288,0.511,0.0,0.141,0.12,1.0,1.0,85.993,224867.0
If I Had a Boat,Lyle Lovett,Country,6oZaeLPOAb3Rn408f3IQiB,If I Had A Boat,Pontiac,49.0,N,1987-10-01,0.456,0.604,-6.146,0.0309,0.291,0.000225,0.336,0.401,4.0,1.0,92.229,187107.0
American Soldier,Toby Keith,Country,0oVWPlnK5eAqnJCVB0FvpP,American Soldier,Shock 'N Y'all,57.0,N,2003-11-04,0.565,0.541,-8.427,0.0376,0.193,3.54e-06,0.0582,0.225,9.0,1.0,82.006,263333.0
Love Like There's No Tomorrow,Jamey Johnson,Country,6Ozp6ac86CSHMik8lbvJuM,Love Like Crazy,Love Like Crazy,65.0,N,2010-06-08,0.535,0.725,-5.108,0.0275,0.0203,1.45e-05,0.176,0.292,10.0,1.0,78.489,217387.0
Fast,Luke Bryan,Country,2gYiCTytrSRtuaHP1Nac6u,Fast,Kill The Lights - Deluxe,49.0,N,2015-08-07,0.548,0.901,-2.637,0.0453,0.2,0.0,0.1,0.557,0.0,0.0,145.953,206213.0
Somebody Like You,Keith Urban,Country,0b9djfiuDIMw1zKH6gV74g,Somebody Like You,Golden Road,67.0,N,2002-01-01,0.625,0.84,-5.768,0.0337,0.109,0.000555,0.144,0.656,4.0,1.0,111.02,323040.0
To Make You Feel My Love,Garth Brooks,Country,7voYv8J4uS4kv0afDZMHiN,To Make You Feel My Love,Strummin' On Garth,40.0,N,2015-03-13,0.562,0.189,-11.556,0.0304,0.894,2.31e-05,0.106,0.141,2.0,1.0,75.562,233453.0
Beer Never Broke My Heart,Luke Combs,Country,7aEtlGHoiPAfRB084NiDmx,Beer Never Broke My Heart,What You See Is What You Get,79.0,N,2019-11-08,0.538,0.863,-4.483,0.0481,0.0139,0.0,0.0874,0.637,1.0,1.0,77.001,186733.0
Girl Crush,Little Big Town,Country,11qh54D0PKkBwelpDxxiEU,Girl Crush,Pain Killer,66.0,N,2014-10-17,0.498,0.225,-10.22,0.0302,0.842,0.0,0.112,0.355,0.0,1.0,173.787,193320.0
Mama Tried,Merle Haggard,Country,6h3YJ05BovN1Pgk145J3r9,Mama Tried,Mama Tried/ Pride In What I Am,57.0,N,2006-01-01,0.738,0.538,-10.118,0.0374,0.719,1.35e-05,0.0653,0.81,2.0,1.0,97.487,134453.0
Pancho and Lefty,Townes Van Zandt,Country,42Wb5T7YmdrzVD81cUWWAg,Pancho and Lefty,Rear View Mirror,25.0,N,1993,0.257,0.453,-8.063,0.0305,0.44,5.05e-06,0.564,0.397,2.0,1.0,148.848,241080.0
Tight Fittin' Jeans,Conway Twitty,Country,5sRLBlFHRFk3LerdiGs4Z6,Tight Fittin' Jeans,Red Neckin' Love Makin' Night,63.0,N,1981-01-01,0.731,0.491,-13.951,0.0344,0.139,2.17e-06,0.0786,0.891,5.0,1.0,102.211,171067.0
Suds in the Bucket,Sara Evans,Country,6NhpIdjYoufuNNlBsgOztc,Suds in the Bucket,Restless,62.0,N,2003-08-17,0.511,0.903,-3.163,0.0397,0.052,0.000529,0.304,0.898,10.0,1.0,161.992,227267.0
Old Town Road,Lil Nas X ft. Billy Ray Cyrus,Country,2xHxKGGGQjudyLpAQrHRHU,Old Town Road (Remix) [made popular by Lil Nas X ft. Billy Ray Cyrus] [vocal version],Pop Party Pack 9 - Party Tyme (Vocal Versions),0.0,N,2024-02-16,0.869,0.512,-9.575,0.0824,0.138,0.0,0.0969,0.622,6.0,1.0,135.97,157075.0
Love Story,Taylor Swift,Country,1vrd6UOGamcKNGnSHJQlSt,Love Story,Fearless,63.0,N,2008-11-11,0.618,0.741,-3.95,0.031,0.17,0.0,0.0822,0.296,2.0,1.0,118.984,235267.0
