Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Can't Stop the Feeling!,Justin Timberlake,Pop,1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),71.0,N,2016-09-23,0.669,0.832,-5.721,0.0682,0.0106,0.0,0.0968,0.7,0.0,1.0,113.035,237547.0
Truth Hurts,Lizzo,Pop,3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,Cuz I Love You (Super Deluxe),69.0,N,2019-04-19,0.715,0.624,-3.046,0.114,0.11,0.0,0.123,0.412,4.0,0.0,158.087,173325.0
Locked Out of Heaven,Bruno Mars,Pop,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Unorthodox Jukebox,87.0,N,2012-12-07,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,5.0,1.0,143.994,233478.0
Bad Guy,Billie Eilish,Pop,2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",80.0,N,2019-03-29,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,7.0,1.0,135.128,194088.0
Watermelon Sugar,Harry Styles,Pop,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,83.0,N,2019-12-13,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,0.0,1.0,95.39,174000.0
Shake It Off,Taylor Swift,Pop,5xTtaWoae3wi06K5WfVUUH,Shake It Off,1989,69.0,N,2014-10-27,0.647,0.785,-5.414,0.165,0.0561,0.0,0.148,0.943,7.0,1.0,160.015,219200.0
We Found Love,Rihanna ft. Calvin Harris,Pop,5HMiF48eiKHttTtSGg7XPb,We Found Love (Originally Performed by Rihanna Ft. Calvin Harris) - Karaoke Version,We Found Love,2.0,N,2013-01-22,0.783,0.918,-7.143,0.0427,0.00216,0.874,0.0673,0.395,3.0,0.0,128.027,216032.0
All of Me,John Legend,Pop,3U4isOIWM3VvDubwSI3y7a,All of Me,Love In The Future (Expanded Edition),84.0,N,2013-08-30,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,8.0,1.0,119.93,269560.0
Girls Like You,Maroon 5 ft. Cardi B,Pop,4Ce5MdtuoNem3Oh1zYTUR8,Dance Comercial 13 Maroon-5-Ft.-Cardi-B-Girls-Like-You,Dance Comercial Play 01,27.0,N,2021-06-13,0.534,0.965,-0.044,0.134,0.0192,0.167,0.0346,0.88,0.0,1.0,127.989,333936.0
Hello,Adele,Pop,62PaSfnXSMyLshYJrlTuL3,Hello,25,71.0,N,2015-11-20,0.578,0.43,-6.134,0.0305,0.33,0.0,0.0854,0.288,5.0,0.0,78.991,295502.0
Thinking Out Loud,Ed Sheeran,Pop,34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,x (Deluxe Edition),80.0,N,2014-06-21,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,2.0,1.0,78.998,281560.0
Chandelier,Sia,Pop,2s1sdSqGcKxpPr5lCl7jAV,Chandelier,1000 Forms Of Fear (Deluxe Version),69.0,N,2015-05-04,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,1.0,1.0,117.089,216120.0
Diamonds,Rihanna,Pop,1z9kQ14XBSN0r2v6fx4IdG,Diamonds,Unapologetic - Edited Version,71.0,N,2012-01-01,0.562,0.709,-4.92,0.0424,0.00124,0.0,0.109,0.401,11.0,0.0,91.958,225147.0
Old Town Road,Lil Nas X ft. Billy Ray Cyrus,Pop,2xHxKGGGQjudyLpAQrHRHU,Old Town Road (Remix) [made popular by Lil Nas X ft. Billy Ray Cyrus] [vocal version],Pop Party Pack 9 - Party Tyme (Vocal Versions),0.0,N,2024-02-16,0.869,0.512,-9.575,0.0824,0.138,0.0,0.0969,0.622,6.0,1.0,135.97,157075.0
Dark Horse,Katy Perry ft. Juicy J,Pop,22TyLtNKzWWsJx9A6IzZ02,Dark Horse (Originally by Katy Perry ft. Juicy J),Covers and Collabs Vol. 1,0.0,N,2014-03-26,0.61,0.502,-6.417,0.0273,0.523,0.0,0.107,0.329,8.0,1.0,130.15,168000.0
Sorry Not Sorry,Demi Lovato,Pop,0yvPEnB032fojLfVluFjUv,Sorry Not Sorry,Tell Me You Love Me,71.0,N,2017-09-29,0.705,0.643,-6.929,0.232,0.0242,0.0,0.262,0.884,11.0,0.0,143.944,203760.0
Party in the U.S.A.,Miley Cyrus,Pop,5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,The Time Of Our Lives,76.0,N,2009-01-01,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,10.0,0.0,96.021,202067.0
Cool for the Summer,Demi Lovato,Pop,3uwnnTQcHM1rDqSfA4gQNz,Cool for the Summer,Confident,75.0,N,2015-01-01,0.583,0.61,-5.639,0.0382,0.00425,0.000105,0.14,0.336,5.0,0.0,114.06,214740.0
Love Me Like You Do,Ellie Goulding,Pop,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),74.0,N,2015-11-06,0.262,0.606,-6.646,0.0484,0.247,0.0,0.125,0.275,8.0,1.0,189.857,252534.0
Señorita,Shawn Mendes & Camila Cabello,Pop,0TK2YIli7K1leLovkQiNik,Señorita,Señorita,75.0,Y,2019-06-21,0.759,0.54,-6.039,0.0287,0.037,0.0,0.0945,0.75,9.0,0.0,116.947,190960.0
The Middle,"Zedd, Maren Morris & Grey",Pop,09IStsImFySgyp0pIQdqAc,The Middle,The Middle,77.0,Y,2018-01-23,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,7.0,1.0,107.01,184732.0
