Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Show Me Love,Robin S.,Electronic,4t0UsYzmmmZRMTWn77jiGF,Show Me Love,Show Me Love,69.0,N,1993-06-15,0.811,0.833,-4.259,0.153,0.014,2.06e-05,0.0769,0.567,5.0,1.0,120.258,252107.0
Be Right There,The Chainsmokers,Electronic,2egKQvoHiCJyHXn8lRlsrl,Be Right There,Be Right There,52.0,Y,2015-08-28,0.695,0.797,-5.199,0.0548,0.00259,0.112,0.664,0.297,7.0,1.0,124.972,237051.0
Don't Speak,No Doubt,Electronic,6urCAbunOQI4bLhmGpX7iS,Don't Speak,Tragic Kingdom,78.0,N,1995-10-10,0.52,0.709,-7.125,0.0352,0.247,1.78e-05,0.18,0.536,5.0,0.0,76.039,263560.0
Lights,Ellie Goulding,Electronic,11ozIUBoXAgRTVWelDn4pL,Lights,An Introduction To Ellie Goulding EP,62.0,N,2010-01-01,0.703,0.731,-6.283,0.0311,0.0721,0.00191,0.138,0.719,8.0,0.0,120.028,244267.0
Everybody Wants to Rule the World,Tears for Fears,Electronic,4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),85.0,N,1985-02-25,0.645,0.795,-12.095,0.0527,0.347,0.00389,0.104,0.535,7.0,1.0,112.067,251489.0
A Sky Full of Stars,Coldplay,Electronic,0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Ghost Stories,86.0,N,2014-05-19,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,6.0,1.0,124.97,267867.0
Sweet Nothing,Calvin Harris ft. Florence Welch,Electronic,6t6Aha9RVUIxJRkBc5dspp,Sweet Nothing (made popular by Calvin Harris ft. Florence Welch) [vocal version],Pop Male Hits 8 - Party Tyme (Vocal Versions),0.0,N,2024-06-07,0.623,0.818,-8.905,0.0445,0.202,0.00204,0.217,0.65,8.0,0.0,127.945,208928.0
Cloak & Dagger,Little Mix,Electronic,6rmXhRIemCTPyMYZRDN7Qg,Black Magic,Get Weird (Expanded Edition),72.0,N,2015-11-06,0.776,0.875,-5.535,0.0575,0.0343,0.0,0.314,0.849,4.0,1.0,111.988,211786.0
One Kiss,Calvin Harris & Dua Lipa,Electronic,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),79.0,Y,2018-04-06,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,9.0,0.0,123.994,214847.0
Breathe,Jax Jones ft. Ina Wroldsen,Electronic,6eNPM8wzuDpqBChGlu93Od,Breathe (ft. ‪Ina Wroldsen),Snacks (Supersize),22.0,Y,2019-09-06,0.723,0.733,-5.552,0.0397,0.0251,0.00011,0.129,0.7,11.0,0.0,125.972,207973.0
Holdin' On,Flume ft. Freddie Gibbs,Electronic,7knG3CMHZ8bKkitOIjjCiQ,Holdin On,Flume: Deluxe Edition,27.0,Y,2012-11-09,0.64,0.537,-6.946,0.14,0.175,0.0,0.655,0.375,8.0,1.0,91.608,167390.0
Ain't Nobody,Chaka Khan,Electronic,2NVpYQqdraEcQwqT7GhUkh,Ain't Nobody,"Epiphany: The Best of Chaka Khan, Vol. 1",64.0,N,1996-11-08,0.8,0.878,-7.109,0.0434,0.189,0.000104,0.14,0.816,1.0,1.0,104.282,280853.0
Loud Places,Jamie xx ft. Romy,Electronic,7lPgKA5mLFNmGPMdb07OlM,Loud Places,In Colour,51.0,Y,2015-06-02,0.646,0.63,-10.748,0.0435,0.00462,0.27,0.122,0.164,8.0,0.0,109.018,283067.0
I Feel It Coming,The Weeknd ft. Daft Punk,Electronic,0VJbnY02Ok7et9f2riXqlY,I Feel It Coming (made popular by The Weeknd ft. Daft Punk) [backing version],Pop Party Pack 8 - Party Tyme (Backing Versions),0.0,N,2024-03-04,0.701,0.717,-10.464,0.0429,0.089,0.0559,0.134,0.762,0.0,0.0,93.014,267769.0
Body,Megan Thee Stallion,Electronic,0A1hoCfMLkiAgvhWkkucJa,Body,Good News,67.0,N,2020-11-20,0.914,0.732,-6.1,0.241,0.0166,0.0,0.107,0.469,8.0,0.0,94.066,171067.0
Don't Go,Duke Dumont,Electronic,69gQgkobVW8bWjoCjBYQUd,I Got U,EP1,59.0,Y,2014-01-01,0.636,0.761,-7.752,0.035,0.00377,0.00784,0.0851,0.463,9.0,0.0,120.837,285596.0
