Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Who Am I (What's My Name)?,Snoop Dogg,Rap,0eO8MW9YSTK3CjdaTYKlhF,Who Am I (What’s My Name)?,Doggystyle,69.0,N,1993-11-23,0.734,0.735,-6.201,0.065,0.000813,3.25e-05,0.559,0.729,7.0,1.0,96.806,246200.0
Congratulations,Post Malone,Rap,3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Stoney - Deluxe,79.0,Y,2016-12-09,0.63,0.804,-4.183,0.0364,0.215,0.0,0.253,0.492,6.0,1.0,123.146,220293.0
Feel Good Inc.,Gorillaz ft. De La Soul,Rap,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Demon Days,82.0,N,2005-05-23,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,6.0,1.0,138.559,222640.0
Life's a B****,Nas ft. AZ,Rap,2LhhnqrHPWvXYveZVHLKrd,Life's a Bitch (feat. AZ & Olu Dara),Illmatic,60.0,Y,1994-04-19,0.775,0.734,-5.41,0.215,0.00138,0.0,0.304,0.342,7.0,1.0,90.001,210840.0
Many Men (Wish Death),50 Cent,Rap,2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),Get Rich Or Die Tryin',71.0,N,2003-02-06,0.654,0.826,-2.93,0.354,0.0153,0.00146,0.131,0.417,6.0,0.0,108.52,256227.0
DNA.,Kendrick Lamar,Rap,6HZILIRieu8S0iqY8kIKhj,DNA.,DAMN.,79.0,N,2017-04-14,0.638,0.523,-6.664,0.357,0.00454,0.0,0.0842,0.422,1.0,1.0,139.913,185947.0
"Bitch, Don't Kill My Vibe",Kendrick Lamar,Rap,4Pwjz3DfvfQWV0rO2V8jyh,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",69.0,N,2012,0.587,0.698,-8.948,0.0943,0.0152,0.0,0.442,0.0985,1.0,1.0,133.954,310720.0
Suge,DaBaby,Rap,2gwkD6igEhQbDQegRCcdoB,Suge,Baby On Baby,66.0,N,2019-03-01,0.876,0.662,-6.482,0.426,0.0608,0.0,0.127,0.844,2.0,0.0,75.445,163320.0
Can't Tell Me Nothing,Kanye West,Rap,0mEdbdeRFQwBhN4xfyIeUM,Can't Tell Me Nothing,Graduation,79.0,N,2007-09-11,0.587,0.62,-6.133,0.042,0.0122,0.0,0.82,0.106,5.0,0.0,79.928,271600.0
Through the Wire,Kanye West,Rap,4mmkhcEm1Ljy1U9nwtsxUo,Through The Wire,The College Dropout,74.0,N,2004-02-10,0.571,0.739,-6.11,0.247,0.00865,5.21e-06,0.158,0.66,7.0,1.0,83.089,221227.0
Antidote,Travis Scott,Rap,1wHZx0LgzFHyeIZkUydNXq,Antidote,Rodeo,73.0,N,2015-09-04,0.714,0.527,-5.046,0.0322,0.00787,0.00015,0.124,0.123,1.0,1.0,131.046,262693.0
Hot,Young Thug ft. Gunna,Rap,6In0l3TGLl8YBCw3eI2fdb,Hot (Made Popular By Young Thug ft. Gunna & Travis Scott) [Karaoke Version],Party Tyme - Hip Hop & Rap Hits 3 (Karaoke Versions),1.0,N,2022-11-25,0.828,0.415,-9.415,0.0368,0.0289,0.933,0.186,0.672,0.0,0.0,112.002,193955.0
XO TOUR Llif3,Lil Uzi Vert,Rap,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Luv Is Rage 2,81.0,N,2017-08-25,0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,11.0,0.0,155.096,182707.0
Money Trees,Kendrick Lamar ft. Jay Rock,Rap,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,"good kid, m.A.A.d city",78.0,Y,2012,0.716,0.531,-7.355,0.122,0.0703,0.0,0.224,0.344,7.0,1.0,71.994,386907.0
Pick Up the Phone,"Young Thug, Travis Scott ft. Quavo",Rap,2V41h2Qge76cF0DXRumG34,Pick Up The Phone (made popular by Young Thug and Travis Scott ft. Quavo) [backing version],Hip Hop & Rap Hits 7 - Party Tyme (Backing Versions),1.0,N,2023-10-20,0.944,0.406,-10.896,0.26,0.026,0.138,0.192,0.215,2.0,1.0,137.03,252153.0
Jumpman,Drake & Future,Rap,27GmP9AWRs744SzKcpJsTZ,Jumpman,What A Time To Be Alive,68.0,Y,2015-09-20,0.852,0.553,-7.286,0.187,0.0559,0.0,0.332,0.656,1.0,1.0,142.079,205879.0
4:44,Jay-Z,Rap,1gT5TGwbkkkUliNzHRIGi1,4:44,4:44,69.0,N,2017-07-07,0.261,0.852,-4.965,0.158,0.139,4.26e-05,0.477,0.431,9.0,1.0,177.997,284493.0
Guilty Conscience,Eminem ft. Dr. Dre,Rap,6da04YB906XonC6IQNC44u,Guilty Conscience,The Slim Shady LP,63.0,Y,1999-02-23,0.66,0.789,-5.143,0.364,0.0527,0.0,0.341,0.513,7.0,1.0,182.218,199333.0
Hot Nigga,Bobby Shmurda,Rap,5CfYJkP3CwQBxRW8YtAxes,Hot Nigga (In the Style of Bobby Shmurda) [Instrumental Version],Hottest Hip Hop,5.0,N,2014-09-25,0.668,0.411,-13.711,0.0791,0.0099,0.857,0.223,0.351,9.0,1.0,84.06,197224.0
Look at Me!,XXXTENTACION,Rap,7floNISpH8VF4z4459Qo18,Look At Me!,Look At Me!,79.0,N,2017-02-20,0.763,0.726,-6.405,0.282,0.259,0.0,0.0976,0.349,1.0,1.0,139.059,126346.0
The Box,Roddy Ricch,Rap,0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me for Being Antisocial,82.0,N,2019-12-06,0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,10.0,0.0,116.971,196653.0
Rodeo,Travis Scott ft. Juicy J,Rap,6TQi1WGLxAyy1itA3CqSlD,Rodeo,Reality Check,53.0,N,2006-02-27,0.7,0.547,-7.907,0.156,0.0532,0.0,0.068,0.67,1.0,1.0,157.137,237947.0
What's Poppin,Jack Harlow,Rap,1jaTQ3nqY3oAAYyCTbIvnM,WHATS POPPIN,Sweet Action,72.0,N,2020-03-13,0.923,0.604,-6.671,0.245,0.017,0.0,0.272,0.826,11.0,0.0,145.062,139741.0
Thrift Shop,Macklemore & Ryan Lewis ft. Wanz,Rap,5ZUH6eW7tqTgJjAKsPljLu,Thrift Shop (In The Style Of Macklemore & Ryan Lewis Ft. Wanz The Heist) - Dubstep Mix,Thrift Shop (Dubstep Remix) (In The Style Of Macklemore & Ryan Lewis Ft. Wanz The Heist),9.0,N,2013-03-15,0.587,0.689,-8.595,0.117,0.00908,0.00611,0.407,0.514,6.0,1.0,155.004,200488.0
Shook Ones Pt. II,Mobb Deep,Rap,33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",The Infamous,74.0,N,1995-04-25,0.763,0.786,-6.472,0.229,0.0146,0.0114,0.0817,0.504,10.0,0.0,93.857,325507.0
4 Da Gang,42 Dugg ft. Roddy Ricch,Rap,1mAey8kEPmDM2icL56kS9d,4 Da Gang (with Roddy Ricch),Free Dem Boyz,66.0,Y,2021-05-21,0.87,0.561,-10.388,0.186,0.0124,0.0,0.103,0.691,7.0,1.0,100.458,156368.0
Laugh Now Cry Later,Drake ft. Lil Durk,Rap,7IRMf1AY2N6rQp3ljGhxDf,Laugh Now Cry Later (In the Style of Drake ft. Lil Durk) [Karaoke Version],Laugh Now Cry Later (In the Style of Drake ft. Lil Durk) [Karaoke Version],0.0,N,2021-01-13,0.893,0.337,-12.927,0.118,0.0068,0.953,0.12,0.209,2.0,1.0,134.005,143284.0
Rockstar,DaBaby ft. Roddy Ricch,Rap,67f4O24hnL6QI0VgfPNm1n,Rockstar (Made Popular By DaBaby ft. Roddy Ricch) [Instrumental Version],Party Tyme Karaoke - Instrumentals 22,21.0,N,2021-07-30,0.671,0.783,-11.436,0.0549,0.286,0.821,0.12,0.162,11.0,1.0,89.997,182475.0
Savage,Megan Thee Stallion,Rap,55CHeLEfn5iJ0IIkgaa4si,Savage,Suga,65.0,N,2020-03-06,0.843,0.741,-5.609,0.334,0.0252,0.0,0.096,0.68,11.0,1.0,168.983,155497.0
SICKO MODE,Travis Scott,Rap,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,81.0,N,2018-08-03,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,8.0,1.0,155.008,312820.0
Toosie Slide,Drake,Rap,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Toosie Slide,68.0,N,2020-04-03,0.834,0.454,-9.75,0.201,0.321,6.15e-06,0.114,0.837,1.0,0.0,81.618,247059.0
Family Ties,Baby Keem ft. Kendrick Lamar,Rap,3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),The Melodic Blue,78.0,Y,2021-09-10,0.711,0.611,-5.453,0.33,0.00588,0.0,0.23,0.144,1.0,1.0,134.093,252262.0
Miss Jackson,OutKast,Rap,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Stankonia,81.0,N,2000-10-31,0.843,0.806,-5.946,0.269,0.143,0.0,0.0771,0.613,4.0,0.0,94.948,270507.0
Panda,Desiigner,Rap,275a9yzwGB6ncAW4SxY7q3,Panda,Panda,64.0,N,2016-02-26,0.686,0.73,-5.504,0.412,0.0287,0.0,0.369,0.271,10.0,0.0,145.251,247867.0
