Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Blues with a Feeling,Little Walter,Blues,0jonK6wMWVKsG1UutRmfpX,Blues With A Feeling,The Essential Little Walter,32.0,N,1993-06-08,0.427,0.518,-10.283,0.0389,0.839,0.00194,0.271,0.647,2.0,1.0,78.425,187773.0
I Want You to Love Me,Mississippi John Hurt,Blues,2azwzKd8xYex2PyJEyl8BX,Coffee Blues,Rediscovered,38.0,N,1998-01-01,0.628,0.135,-20.695,0.0435,0.946,1.02e-05,0.0915,0.773,9.0,1.0,103.664,226227.0
Ain't Nobody's Business,Billie Holiday,Blues,6oxVp5wy6LqoWVQYNytLf1,Ain't Nobody's Business If I Do,The Lady Sings,23.0,N,1956-01-01,0.625,0.15,-12.146,0.0635,0.885,0.0,0.0481,0.282,7.0,1.0,101.08,201960.0
It Hurts Me Too,Elmore James,Blues,7egQm3o9Qem3FhzUNi66rI,It Hurts Me Too,Street Talkin',37.0,N,1975-01-07,0.298,0.386,-12.2,0.0316,0.957,0.0612,0.0904,0.618,1.0,1.0,180.032,192661.0
My Babe,Little Walter,Blues,4KMXlzvtC8xjLseDqDjpeU,My Babe,The Essential Little Walter,57.0,N,1993-06-08,0.676,0.334,-10.572,0.0508,0.862,0.0,0.32,0.867,5.0,1.0,158.0,162040.0
Trouble in Mind,Big Bill Broonzy,Blues,2GOztq545KfhVtznk79MXP,"Hey, Hey Baby",Trouble in Mind,26.0,N,2000-02-22,0.684,0.234,-15.497,0.0601,0.769,0.399,0.0916,0.821,9.0,1.0,170.75,174907.0
You Don't Love Me,Willie Cobbs,Blues,5VGPp0EyyQqUKbtEDxMmUe,You Don't Love Me,Fernwood Rhythm 'N' Blues From Memphis,25.0,N,2003-01-01,0.356,0.666,-5.835,0.036,0.477,0.0127,0.1,0.651,2.0,1.0,137.895,156627.0
Shake Your Moneymaker,Elmore James,Blues,0qRz3AYteD6VX65GkBqcel,The Sky Is Crying,Shake Your Moneymaker: The Best of the Fire Sessions,34.0,N,2001-03-19,0.294,0.611,-6.268,0.0348,0.0226,0.435,0.114,0.567,2.0,1.0,178.191,166400.0
Rockin' Chair,Thelonious Monk,Blues,5ZF7cZhQqzZ9O3YNJLj1lL,Well You Needn't - Opening,The Complete Riverside Recordings,47.0,N,1986-01-01,0.498,0.192,-19.543,0.0437,0.555,1.15e-06,0.0692,0.397,5.0,0.0,87.683,86333.0
Tennessee Waltz,Patti Page,Blues,0BHroBUvBAp561BYqC9LRK,Tennessee Waltz,Golden Hits,42.0,N,1960-09-07,0.373,0.124,-12.95,0.0342,0.969,0.000891,0.123,0.351,5.0,1.0,86.857,185000.0
Just Your Fool,Little Walter,Blues,4Dxe3Y8MPu7ffNrBFPNzRL,Just Your Fool,The Essential Little Walter,30.0,N,1993-06-08,0.512,0.77,-6.36,0.0442,0.422,0.000252,0.251,0.949,2.0,1.0,108.771,144493.0
Black Magic Woman,Santana,Blues,4nmne9J3YCEdhvjTzwiAgu,Black Magic Woman,Ultimate Santana,59.0,N,2007-09-25,0.497,0.552,-7.102,0.0307,0.679,0.0314,0.089,0.633,9.0,0.0,124.359,195867.0
The Sky Is Crying,Stevie Ray Vaughan,Blues,0rXcAvuQdrQakSPhIOZ6f8,The Sky Is Crying - 1984 Version,Couldn't Stand The Weather (Legacy Edition),45.0,N,1984,0.248,0.431,-11.074,0.0437,0.0051,0.137,0.294,0.581,6.0,0.0,182.001,250867.0
Crawling King Snake,John Lee Hooker,Blues,6xJAM3OvKNKH0xprjDFrzB,Crawling King Snake,John Lee Hooker,3.0,N,1965-07-01,0.544,0.238,-14.774,0.0969,0.987,0.0274,0.358,0.429,2.0,1.0,91.74,161045.0
Mannish Boy,Muddy Waters,Blues,58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,King Of The Electric Blues,60.0,N,1977,0.598,0.735,-10.882,0.0973,0.44,0.000215,0.681,0.615,2.0,1.0,111.129,321133.0
Walking By Myself,Jimmy Rogers,Blues,36ccrof5DFicLrejE4hEye,Walking By Myself,Chicago Bound,46.0,N,1976-02-03,0.621,0.519,-13.328,0.102,0.837,0.00246,0.162,0.775,11.0,0.0,117.005,167267.0
My Midnight,The Black Keys,Blues,0BvTRzRqYx0pGW5Xpumryv,Dancing at Midnight,The Night of My Life,0.0,N,2022-11-17,0.387,0.185,-18.07,0.0326,0.78,0.189,0.117,0.437,1.0,1.0,104.127,145170.0
Blind Lemon Jefferson,Matchbox Twenty,Blues,2KVwlelhxKUy8LVV6JypH3,Push,Yourself or Someone Like You,74.0,N,1996-10-01,0.42,0.672,-7.902,0.027,0.0067,0.0,0.108,0.476,6.0,1.0,168.019,238667.0
Cold Shot,Stevie Ray Vaughan,Blues,3QwDN08fGnGfRrsn5wLTej,Cold Shot,Couldn't Stand The Weather (Legacy Edition),49.0,N,1984,0.427,0.553,-11.434,0.0405,0.344,0.000956,0.227,0.674,6.0,0.0,109.629,240987.0
Too Late,Koko Taylor,Blues,4ltZJeX3Asu77e2XEKfWxO,Too Late,Too Late,29.0,N,2023-04-25,0.897,0.498,-9.79,0.227,0.0185,0.00301,0.107,0.396,1.0,1.0,104.009,142662.0
You Were Mine,The Who,Blues,6WoolNlD3HrcuGqbcEzKro,You Who Were Mine,"Love on the Beach, Latin Jazz for Lovers",0.0,N,2024-02-06,0.732,0.31,-15.713,0.0404,0.727,0.885,0.0833,0.854,0.0,1.0,129.94,171618.0
Broke and Lonely,Shemekia Copeland,Blues,5XtVpa3LiJHfnTxRzbfU74,Salt In My Wounds,Turn The Heat Up!,43.0,N,1998-04-01,0.72,0.351,-9.332,0.0312,0.504,0.0121,0.279,0.147,11.0,0.0,107.263,253067.0
All Your Love (I Miss Loving),Otis Rush,Blues,46UVOp5pnAasev0rak9ta7,All Your Love (I Miss Loving),An Introduction To Otis Rush,20.0,N,1956,0.469,0.767,-5.952,0.0539,0.818,0.00261,0.23,0.646,1.0,0.0,127.842,157133.0
Mississippi Blues,William Bell,Blues,6w4uBNwx4UZoz5qGB4SPXL,Mississippi Girl,Southern Soul,24.0,N,2010-03-12,0.514,0.765,-3.902,0.274,0.463,5.42e-06,0.159,0.619,0.0,1.0,81.438,309480.0
Please Love Me,B.B. King,Blues,4gmisBKFNRoYTnZfYlb5AN,"Please Love Me - Live At The Regal Theater, Chicago, 1964",Live At The Regal,25.0,N,1965,0.358,0.886,-8.325,0.0734,0.547,0.0,0.783,0.744,5.0,0.0,167.415,179267.0
Rollin' Stone,Muddy Waters,Blues,61K6lqGyrl2Aerk0LjAZem,Rollin' Stone,The Chess Box,49.0,N,1989-11-07,0.629,0.0192,-19.952,0.0833,0.989,4.3e-05,0.106,0.335,4.0,1.0,169.254,188160.0
Wishing Well,Free,Blues,6TSBIfIbxuPDi1uqMqy1iV,Wishing Well,Heartbreaker,46.0,N,1973-01-01,0.498,0.72,-10.533,0.0674,0.14,0.000252,0.38,0.576,4.0,0.0,121.892,220147.0
I Got a Woman,Ray Charles,Blues,2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,"Ray Charles (aka: Hallelujah, I Love Her So)",70.0,N,1957-01-01,0.556,0.61,-4.729,0.213,0.833,2.22e-06,0.258,0.665,9.0,1.0,199.373,171467.0
What I'd Say,Ray Charles,Blues,5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",What'd I Say,57.0,N,1959,0.54,0.681,-5.44,0.0508,0.808,0.0,0.162,0.794,4.0,1.0,88.385,307053.0
Big Legged Woman,Big Joe Williams,Blues,37RtOpFMu0i0wzjtK7c1bn,Big Legged Woman,Texas Cannonball,37.0,N,1972-01-01,0.571,0.562,-11.872,0.0351,0.652,0.0,0.525,0.947,10.0,1.0,184.677,240533.0
Hate to See You Go,Nina Simone,Blues,39CyGKIFqMzSuynOR8uilD,Baltimore,Baltimore,59.0,N,1978,0.638,0.28,-16.516,0.0673,0.417,0.439,0.0611,0.734,9.0,1.0,154.955,278867.0
Coyote,Joni Mitchell,Blues,5fdjxHzBILxMXRrbbOVupJ,Coyote,Hejira,44.0,N,1976-11-01,0.525,0.555,-8.739,0.0441,0.848,0.000173,0.0795,0.574,0.0,1.0,167.036,301440.0
Rough and Rowdy Ways,Bob Dylan,Blues,5AJT2Tk8mnDEnCtsikWVu2,I Contain Multitudes,Rough and Rowdy Ways,38.0,N,2020-06-19,0.513,0.0816,-19.555,0.0782,0.934,0.000132,0.108,0.129,0.0,1.0,132.491,276733.0
Got You on My Mind,Otis Redding,Blues,4skknrc3sJqaPTtUr2cwFq,These Arms of Mine,Pain in My Heart,69.0,N,1964,0.403,0.284,-14.014,0.0338,0.798,0.0,0.142,0.686,10.0,1.0,176.537,154533.0
Love Is a Stranger,The Paul Butterfield Blues Band,Blues,66Yxbr2UODJjVBKdZtbnOL,Love Is Strange,Dirty Dancing (Original Motion Picture Soundtrack),50.0,N,1987-09-24,0.57,0.3,-16.159,0.0341,0.684,7.84e-05,0.0469,0.811,0.0,1.0,121.693,173333.0
