Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Skylark,Billie Holiday,Jazz,6jP72hTXs5lZyTEihOkWRi,Skylark,Hoagy Sings Carmichael,28.0,N,1956,0.58,0.0632,-19.53,0.0576,0.915,0.000135,0.121,0.296,1.0,1.0,70.297,243360.0
Koko,Charlie Parker,Jazz,0d6m2xfXqMyEKOeRvfL7Ot,Koko - Original Take 2,The Charlie Parker Story,42.0,N,1956-01-01,0.484,0.488,-9.127,0.048,0.867,0.141,0.147,0.426,5.0,0.0,149.977,173733.0
Passion Dance,McCoy Tyner,Jazz,0lELi5BqmUO4hXTFfAUf60,Passion Dance,The Real McCoy (Remastered / Rudy Van Gelder Edition),29.0,N,1967,0.473,0.771,-8.653,0.0457,0.437,0.0,0.113,0.474,1.0,1.0,118.942,527427.0
Midnight Sun,Lionel Hampton,Jazz,1jayrAg30A3xe07n1HJ1iU,Midnight Sun - Remastered 1996,The Romantic Moods Of Jackie Gleason,16.0,Y,1996-01-01,0.26,0.228,-16.288,0.0337,0.853,0.935,0.107,0.191,5.0,1.0,67.835,220467.0
Compared to What,Les McCann & Eddie Harris,Jazz,4fxJQJY1VEdhmSAIqMeFrR,Compared to What,Compared to What,27.0,Y,2016-12-06,0.557,0.457,-14.404,0.0362,0.796,0.000917,0.703,0.709,0.0,0.0,151.71,523333.0
Footprints,Wayne Shorter,Jazz,2JITVZu8o6ls9k8SoMRy7w,Footprints - Remastered,Adam's Apple (Rudy Van Gelder Edition),49.0,N,1967,0.53,0.454,-11.19,0.028,0.768,0.116,0.113,0.492,7.0,0.0,135.947,449773.0
Manteca,Dizzy Gillespie,Jazz,6p2n9sq4lErSv3YG9ce78y,Manteca,The Essential Dizzy Gillespie (Remastered),31.0,N,2017-10-20,0.482,0.63,-10.364,0.338,0.818,0.876,0.109,0.562,5.0,0.0,172.022,186933.0
Misty,Erroll Garner,Jazz,6oanIhkNbxXnX19RTtkpEL,Misty,Plays Misty,46.0,N,1955-01-01,0.431,0.161,-17.707,0.0389,0.952,0.799,0.106,0.173,10.0,0.0,98.018,171000.0
Fables of Faubus,Charles Mingus,Jazz,5RWzKLxXVzkJQ702yWfp1w,Fables of Faubus,Mingus Ah Um,34.0,N,1959,0.518,0.159,-16.645,0.06,0.457,0.0724,0.175,0.351,5.0,0.0,63.841,492760.0
A Night in Tunisia,Art Blakey & The Jazz Messengers,Jazz,6DH9qxj2GJi0lU2Y5FDHky,A Night In Tunisia - Remastered 2005,A Night In Tunisia - Remaster,30.0,N,2004-01-01,0.41,0.761,-8.036,0.111,0.0634,0.532,0.0994,0.418,5.0,1.0,155.267,676320.0
Little Sunflower,Freddie Hubbard,Jazz,1caaPKXsfmGTT1t5Zcu243,Little Sunflower,Backlash,31.0,N,1967,0.541,0.186,-21.91,0.0324,0.787,0.914,0.0905,0.762,9.0,0.0,136.965,475200.0
Ornithology,Charlie Parker,Jazz,6A1mh31895sUIYEpOfeqC3,Ornithology,Bird - Original Motion Picture Soundtrack,35.0,N,1988-11-01,0.475,0.689,-9.351,0.054,0.532,0.00427,0.969,0.823,9.0,0.0,117.407,282200.0
Goodbye Pork Pie Hat,Charles Mingus,Jazz,3PJMsxg6rz9FOo6xNiASXz,Goodbye Pork Pie Hat,Mingus Ah Um,52.0,N,1959,0.356,0.0937,-16.64,0.0353,0.957,0.096,0.209,0.278,8.0,0.0,86.669,342373.0
Donna Lee,Charlie Parker,Jazz,2u9OxJTn3Of4aMYp9K71kE,Donna Lee,The Complete Savoy & Dial Master Takes,39.0,N,2002-09-10,0.671,0.612,-8.885,0.053,0.727,0.00509,0.33,0.823,10.0,0.0,112.931,154333.0
Impressions,John Coltrane,Jazz,0jFcrPx0fe5pRBRKKf8Apf,Impressions (feat. Eric Dolphy) - Live,Impressions (Live),33.0,Y,2023-06-01,0.335,0.72,-14.054,0.0403,0.161,0.0148,0.638,0.316,4.0,0.0,90.579,612881.0
Milestones,Miles Davis,Jazz,1xicvSO4CJ2ymqYgpk7DFh,"Milestones (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)",Milestones,53.0,Y,1958-04,0.553,0.546,-7.459,0.0341,0.439,0.000557,0.167,0.7,9.0,0.0,118.214,342067.0
Someday My Prince Will Come,Miles Davis,Jazz,0PHqHvmg4TIaANfbsvDMTR,"Someday My Prince Will Come (feat. John Coltrane, Hank Mobley, Wynton Kelly, Paul Chambers & Jimmy Cobb)",Someday My Prince Will Come,40.0,Y,1961-12-11,0.516,0.309,-12.602,0.0331,0.813,0.00301,0.156,0.277,0.0,0.0,152.066,542400.0
On Green Dolphin Street,Miles Davis,Jazz,0tUq1zaYNoV6ZiYRU2bjqf,"On Green Dolphin Street (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Kind Of Blue (Legacy Edition),40.0,Y,1959-08-17,0.445,0.304,-12.261,0.0437,0.742,0.00068,0.175,0.362,8.0,1.0,76.74,589200.0
"Straight, No Chaser",Thelonious Monk,Jazz,6YYu8qFzcY1ZyzzsJIQM12,"Straight, No Chaser","Straight, No Chaser",48.0,N,1967,0.465,0.35,-12.977,0.0403,0.41,0.279,0.135,0.62,3.0,1.0,93.336,688133.0
The Girl from Ipanema,Stan Getz & João Gilberto,Jazz,4qGfJb2KByjvzrwo8HNibg,The Girl From Ipanema - Single Version,Getz/Gilberto - Expanded Edition,60.0,Y,1964-03-01,0.696,0.17,-16.603,0.0385,0.944,0.00174,0.106,0.52,5.0,0.0,130.966,167533.0
Jean-Pierre,Miles Davis,Jazz,2uIPD5kw8mtkqGqr4O5x9y,"Jean Pierre (2022 Remaster) - Live at Shinjuku Nishi-Guchi Hiroba, Tokyo, Japan - Oct. 1981 - version 1",We Want Miles (Live - 2022 Remaster),18.0,N,1982-05-01,0.433,0.626,-8.916,0.131,0.0864,0.23,0.687,0.387,11.0,0.0,169.779,639750.0
St. Thomas,Sonny Rollins,Jazz,05LNBtMuc26HSAHh7C6iG8,St. Thomas,Saxophone Colossus,39.0,Y,1957-04,0.552,0.509,-9.828,0.0428,0.605,0.509,0.0827,0.74,0.0,1.0,112.049,407600.0
Sugar,Stanley Turrentine,Jazz,73UXONNvcyKDlw27FC0E2B,Sugar,Sugar - CTI Records 40th Anniversary Edition - Original recording remastered,27.0,N,1971,0.568,0.543,-10.975,0.038,0.437,0.0133,0.107,0.544,0.0,0.0,124.001,603413.0
All of Me,Billie Holiday,Jazz,1LGqJ3nvxpVXDWpEzq4DJD,All of Me,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),62.0,N,1933,0.504,0.0644,-14.754,0.0408,0.972,4.36e-06,0.174,0.403,2.0,0.0,106.994,181440.0
Blues March,Art Blakey & The Jazz Messengers,Jazz,3OyJe2L52BHpACsMjOKLFg,Blues March,Moanin' (Expanded Edition),32.0,N,1959-01-01,0.654,0.585,-8.022,0.0565,0.688,0.416,0.0713,0.619,6.0,1.0,131.703,373387.0
The Peacocks,Jimmy Rowles,Jazz,6bGE6S2mJ9yKFJV1bPzn53,The Peacocks,The Peacocks,23.0,Y,1977-11-06,0.453,0.0813,-20.509,0.0456,0.982,0.475,0.109,0.172,10.0,0.0,58.487,339290.0
Fever,Peggy Lee,Jazz,4Ke1CYcm2wYDFlOhziFFjK,Fever,All Aglow Again!,45.0,N,1960-05-02,0.833,0.0756,-20.822,0.147,0.314,0.0,0.111,0.338,4.0,0.0,136.007,202693.0
My Baby Just Cares for Me,Nina Simone,Jazz,3NJKI4cwlSBuTYNmDoRVb3,My Baby Just Cares for Me,Feeling Good: Her Greatest Hits And Remixes,38.0,N,2022-02-11,0.754,0.368,-10.438,0.0591,0.642,9.31e-05,0.0874,0.399,11.0,0.0,117.133,220546.0
Con Alma,Dizzy Gillespie,Jazz,79dhjqvk5LOW1Ah1dQDGgU,Con Alma,Afro,30.0,N,1954-01-26,0.719,0.34,-13.352,0.0308,0.829,0.893,0.154,0.713,8.0,1.0,113.897,305067.0
Lush Life,Johnny Hartman & John Coltrane,Jazz,0Srs2sPdZTfFvvfLP4DGa0,Lush Life,John Coltrane And Johnny Hartman,42.0,Y,1963-01-01,0.373,0.119,-15.81,0.0521,0.95,4.66e-05,0.156,0.122,6.0,1.0,53.877,329613.0
E.S.P.,Miles Davis,Jazz,4vLYewWIvqHfKtJDk8c8tq,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Kind Of Blue (Legacy Edition),59.0,Y,1959-08-17,0.532,0.151,-17.266,0.0376,0.706,0.00136,0.116,0.211,0.0,1.0,136.759,562640.0
Songbird,Kenny G,Jazz,3Yx4nbYHdmHQdnYAukyHJR,Songbird,Duotones,50.0,N,1986-09-01,0.324,0.358,-14.19,0.0367,0.0532,0.822,0.106,0.107,7.0,1.0,134.363,303333.0
Cantaloupe Island,Herbie Hancock,Jazz,1tckg6GRaTodmxnDd4Cxkl,Cantaloupe Island,Cantaloupe Island,40.0,N,1994-01-01,0.485,0.551,-11.115,0.0283,0.39,0.0,0.0814,0.452,0.0,0.0,116.162,330093.0
Serenade to a Cuckoo,Roland Kirk,Jazz,63lie8a4QcRtL8lQ0m0FgZ,Serenade To A Cuckoo,Rahsaan: The Complete Mercury Recordings Of Roland Kirk,18.0,N,1990-12-16,0.576,0.15,-19.895,0.0565,0.929,0.488,0.172,0.501,5.0,0.0,137.101,275000.0
Chameleon,Herbie Hancock,Jazz,4Ce66JznW8QbeyTdSzdGwR,Chameleon,Head Hunters,50.0,N,1973-10-26,0.581,0.672,-8.279,0.0602,0.104,0.856,0.0458,0.808,8.0,1.0,111.154,941360.0
Compared to What,Les McCann & Eddie Harris,Jazz,4fxJQJY1VEdhmSAIqMeFrR,Compared to What,Compared to What,27.0,Y,2016-12-06,0.557,0.457,-14.404,0.0362,0.796,0.000917,0.703,0.709,0.0,0.0,151.71,523333.0
Dolphin Dance,Herbie Hancock,Jazz,1Ku5vu9Crncz8ixeT4Ijxc,Dolphin Dance,Maiden Voyage,35.0,N,1965-05-17,0.46,0.372,-11.008,0.0329,0.828,0.000197,0.131,0.29,4.0,0.0,120.043,556133.0
All the Things You Are,Ella Fitzgerald,Jazz,5gPetRvxQKyOjjwZX1dzbt,All The Things You Are,Ella Fitzgerald Sings The Jerome Kern Song Book,48.0,Y,1963-01-01,0.45,0.154,-14.485,0.0373,0.938,4.37e-06,0.16,0.243,1.0,1.0,110.666,195667.0
The Theme,Miles Davis,Jazz,0U4HWujJaz4GFabT0z5l3u,The Theme - Take 1,Workin' With The Miles Davis Quintet,29.0,N,1959,0.473,0.427,-10.742,0.0406,0.521,0.00134,0.553,0.444,10.0,0.0,137.139,118147.0
Stardust,Louis Armstrong,Jazz,0n9TMF5hbrMLf7h3Ry7Pll,Stardust,The Essential Louis Armstrong,17.0,N,2004,0.644,0.204,-11.252,0.0617,0.988,0.513,0.0506,0.68,1.0,1.0,121.908,215160.0
